TOP PARENT,PARENT-CATEGORY,CATEGORY-NAME,CATEGORY-ID-NUMBER (SHORT-CODE),DESCRIPTION
Organization,,Organization,CAT-ORG,"<p><strong>Organization</strong></p><p>Single root category for the complete Moodle/Iomad learning catalogue.</p><p><strong>Typical subjects or topics:</strong> All education, training, compliance, professional, sector, and personal-development domains</p><p><strong>Recommended course structure:</strong> Root only; no courses directly at this level</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Organization"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Organization</a></p>"
Education and Academia,Organization,Education and Academia,CAT-EDU,"<p><strong>Education and Academia</strong></p><p>Formal education, higher education, continuing education, academic support, and educator development.</p><p><strong>Typical subjects or topics:</strong> School, college, university, research, teacher education, continuing education</p><p><strong>Recommended course structure:</strong> Institution / level / program / subject / unit courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Education%20and%20Academia"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Education and Academia</a></p>"
School,Education and Academia,School,CAT-SCH,"<p><strong>School</strong></p><p>School education from pre-primary through senior secondary levels.</p><p><strong>Typical subjects or topics:</strong> Pre-primary through senior secondary education</p><p><strong>Recommended course structure:</strong> Stage / class / stream / subject / chapter courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=School"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: School</a></p>"
School,School,Pre-Primary,CAT-SCH-PRE,"<p><strong>Pre-Primary</strong></p><p>Pre-Primary curriculum and learner progression.</p><p><strong>Typical subjects or topics:</strong> Nursery, lower kindergarten, upper kindergarten, language readiness, numeracy readiness, environmental awareness</p><p><strong>Recommended course structure:</strong> Theme / skill modules</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Pre-Primary"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Pre-Primary</a></p>"
School,School,Primary (Classes 1-5),CAT-SCH-PRI,"<p><strong>Primary (Classes 1-5)</strong></p><p>Primary (Classes 1-5) curriculum and learner progression.</p><p><strong>Typical subjects or topics:</strong> Languages, mathematics, environmental studies, science readiness, arts, physical education</p><p><strong>Recommended course structure:</strong> Class / subject / chapter courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Primary%20(Classes%201-5)"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Primary (Classes 1-5)</a></p>"
School,School,Middle (Classes 6-8),CAT-SCH-MID,"<p><strong>Middle (Classes 6-8)</strong></p><p>Middle (Classes 6-8) curriculum and learner progression.</p><p><strong>Typical subjects or topics:</strong> Languages, mathematics, science, social science, computer studies, arts, physical education</p><p><strong>Recommended course structure:</strong> Class / subject / chapter courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Middle%20(Classes%206-8)"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Middle (Classes 6-8)</a></p>"
School,School,Secondary (Classes 9-10),CAT-SCH-SEC,"<p><strong>Secondary (Classes 9-10)</strong></p><p>Secondary (Classes 9-10) curriculum and learner progression.</p><p><strong>Typical subjects or topics:</strong> Languages, mathematics, science, social science, information technology, electives</p><p><strong>Recommended course structure:</strong> Class / subject / chapter courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Secondary%20(Classes%209-10)"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Secondary (Classes 9-10)</a></p>"
School,School,Senior Secondary (Classes 11-12),CAT-SCH-SSE,"<p><strong>Senior Secondary (Classes 11-12)</strong></p><p>Senior Secondary (Classes 11-12) curriculum and learner progression.</p><p><strong>Typical subjects or topics:</strong> Science, commerce, humanities, vocational and interdisciplinary streams</p><p><strong>Recommended course structure:</strong> Stream / subject / chapter or unit courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Senior%20Secondary%20(Classes%2011-12)"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Senior Secondary (Classes 11-12)</a></p>"
School,Senior Secondary (Classes 11-12),Classes 11,CAT-GRD-011,"<p><strong>Classes 11</strong></p><p>Curriculum category for Classes 11.</p><p><strong>Typical subjects or topics:</strong> Science, commerce, humanities and vocational streams</p><p><strong>Recommended course structure:</strong> Stream / subject / chapter or unit courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Classes%2011"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Classes 11</a></p>"
School,Classes 11,Science,CAT-GRD-011-SCI,"<p><strong>Science</strong></p><p>Science stream for Classes 11.</p><p><strong>Typical subjects or topics:</strong> Physics, Chemistry, Mathematics, Biology, English, Computer Science, Informatics Practices, Physical Education, Science Electives</p><p><strong>Recommended course structure:</strong> Subject / chapter or unit courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Science"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Science</a></p>"
School,Science,Physics,CAT-GRD-011-SCI-PH,"<p><strong>Physics</strong></p><p>Physics subject for the Classes 11 Science stream.</p><p><strong>Typical subjects or topics:</strong> Physics</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Physics"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Physics</a></p>"
School,Science,Chemistry,CAT-GRD-011-SCI-CH,"<p><strong>Chemistry</strong></p><p>Chemistry subject for the Classes 11 Science stream.</p><p><strong>Typical subjects or topics:</strong> Chemistry</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Chemistry"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Chemistry</a></p>"
School,Science,Mathematics,CAT-GRD-011-SCI-MA,"<p><strong>Mathematics</strong></p><p>Mathematics subject for the Classes 11 Science stream.</p><p><strong>Typical subjects or topics:</strong> Mathematics</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Mathematics"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Mathematics</a></p>"
School,Science,Biology,CAT-GRD-011-SCI-BI,"<p><strong>Biology</strong></p><p>Biology subject for the Classes 11 Science stream.</p><p><strong>Typical subjects or topics:</strong> Biology</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Biology"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Biology</a></p>"
School,Science,English,CAT-GRD-011-SCI-EN,"<p><strong>English</strong></p><p>English subject for the Classes 11 Science stream.</p><p><strong>Typical subjects or topics:</strong> English</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=English"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: English</a></p>"
School,Science,Computer Science,CAT-GRD-011-SCI-CS,"<p><strong>Computer Science</strong></p><p>Computer Science subject for the Classes 11 Science stream.</p><p><strong>Typical subjects or topics:</strong> Computer Science</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Computer%20Science"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Computer Science</a></p>"
School,Science,Informatics Practices,CAT-GRD-011-SCI-IP,"<p><strong>Informatics Practices</strong></p><p>Informatics Practices subject for the Classes 11 Science stream.</p><p><strong>Typical subjects or topics:</strong> Informatics Practices</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Informatics%20Practices"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Informatics Practices</a></p>"
School,Science,Physical Education,CAT-GRD-011-SCI-PE,"<p><strong>Physical Education</strong></p><p>Physical Education subject for the Classes 11 Science stream.</p><p><strong>Typical subjects or topics:</strong> Physical Education</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Physical%20Education"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Physical Education</a></p>"
School,Science,Science Electives,CAT-GRD-011-SCI-EL,"<p><strong>Science Electives</strong></p><p>Science Electives subject for the Classes 11 Science stream.</p><p><strong>Typical subjects or topics:</strong> Science Electives</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Science%20Electives"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Science Electives</a></p>"
School,Classes 11,Commerce,CAT-GRD-011-COM,"<p><strong>Commerce</strong></p><p>Commerce stream for Classes 11.</p><p><strong>Typical subjects or topics:</strong> Accountancy, Business Studies, Economics, English, Mathematics, Informatics Practices, Entrepreneurship, Physical Education, Commerce Electives</p><p><strong>Recommended course structure:</strong> Subject / chapter or unit courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Commerce"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Commerce</a></p>"
School,Commerce,Accountancy,CAT-GRD-011-COM-AC,"<p><strong>Accountancy</strong></p><p>Accountancy subject for the Classes 11 Commerce stream.</p><p><strong>Typical subjects or topics:</strong> Accountancy</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Accountancy"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Accountancy</a></p>"
School,Commerce,Business Studies,CAT-GRD-011-COM-BS,"<p><strong>Business Studies</strong></p><p>Business Studies subject for the Classes 11 Commerce stream.</p><p><strong>Typical subjects or topics:</strong> Business Studies</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Business%20Studies"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Business Studies</a></p>"
School,Commerce,Economics,CAT-GRD-011-COM-EC,"<p><strong>Economics</strong></p><p>Economics subject for the Classes 11 Commerce stream.</p><p><strong>Typical subjects or topics:</strong> Economics</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Economics"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Economics</a></p>"
School,Commerce,English,CAT-GRD-011-COM-EN,"<p><strong>English</strong></p><p>English subject for the Classes 11 Commerce stream.</p><p><strong>Typical subjects or topics:</strong> English</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=English"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: English</a></p>"
School,Commerce,Mathematics,CAT-GRD-011-COM-MA,"<p><strong>Mathematics</strong></p><p>Mathematics subject for the Classes 11 Commerce stream.</p><p><strong>Typical subjects or topics:</strong> Mathematics</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Mathematics"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Mathematics</a></p>"
School,Commerce,Informatics Practices,CAT-GRD-011-COM-IP,"<p><strong>Informatics Practices</strong></p><p>Informatics Practices subject for the Classes 11 Commerce stream.</p><p><strong>Typical subjects or topics:</strong> Informatics Practices</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Informatics%20Practices"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Informatics Practices</a></p>"
School,Commerce,Entrepreneurship,CAT-GRD-011-COM-ENT,"<p><strong>Entrepreneurship</strong></p><p>Entrepreneurship subject for the Classes 11 Commerce stream.</p><p><strong>Typical subjects or topics:</strong> Entrepreneurship</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Entrepreneurship"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Entrepreneurship</a></p>"
School,Commerce,Physical Education,CAT-GRD-011-COM-PE,"<p><strong>Physical Education</strong></p><p>Physical Education subject for the Classes 11 Commerce stream.</p><p><strong>Typical subjects or topics:</strong> Physical Education</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Physical%20Education"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Physical Education</a></p>"
School,Commerce,Commerce Electives,CAT-GRD-011-COM-EL,"<p><strong>Commerce Electives</strong></p><p>Commerce Electives subject for the Classes 11 Commerce stream.</p><p><strong>Typical subjects or topics:</strong> Commerce Electives</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Commerce%20Electives"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Commerce Electives</a></p>"
School,Classes 11,Humanities,CAT-GRD-011-HUM,"<p><strong>Humanities</strong></p><p>Humanities stream for Classes 11.</p><p><strong>Typical subjects or topics:</strong> History, Political Science, Geography, Psychology, Sociology, Economics, English, Philosophy, Fine Arts, Humanities Electives</p><p><strong>Recommended course structure:</strong> Subject / chapter or unit courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Humanities"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Humanities</a></p>"
School,Humanities,History,CAT-GRD-011-HUM-HI,"<p><strong>History</strong></p><p>History subject for the Classes 11 Humanities stream.</p><p><strong>Typical subjects or topics:</strong> History</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=History"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: History</a></p>"
School,Humanities,Political Science,CAT-GRD-011-HUM-PS,"<p><strong>Political Science</strong></p><p>Political Science subject for the Classes 11 Humanities stream.</p><p><strong>Typical subjects or topics:</strong> Political Science</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Political%20Science"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Political Science</a></p>"
School,Humanities,Geography,CAT-GRD-011-HUM-GE,"<p><strong>Geography</strong></p><p>Geography subject for the Classes 11 Humanities stream.</p><p><strong>Typical subjects or topics:</strong> Geography</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Geography"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Geography</a></p>"
School,Humanities,Psychology,CAT-GRD-011-HUM-PY,"<p><strong>Psychology</strong></p><p>Psychology subject for the Classes 11 Humanities stream.</p><p><strong>Typical subjects or topics:</strong> Psychology</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Psychology"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Psychology</a></p>"
School,Humanities,Sociology,CAT-GRD-011-HUM-SO,"<p><strong>Sociology</strong></p><p>Sociology subject for the Classes 11 Humanities stream.</p><p><strong>Typical subjects or topics:</strong> Sociology</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Sociology"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Sociology</a></p>"
School,Humanities,Economics,CAT-GRD-011-HUM-EC,"<p><strong>Economics</strong></p><p>Economics subject for the Classes 11 Humanities stream.</p><p><strong>Typical subjects or topics:</strong> Economics</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Economics"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Economics</a></p>"
School,Humanities,English,CAT-GRD-011-HUM-EN,"<p><strong>English</strong></p><p>English subject for the Classes 11 Humanities stream.</p><p><strong>Typical subjects or topics:</strong> English</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=English"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: English</a></p>"
School,Humanities,Philosophy,CAT-GRD-011-HUM-PI,"<p><strong>Philosophy</strong></p><p>Philosophy subject for the Classes 11 Humanities stream.</p><p><strong>Typical subjects or topics:</strong> Philosophy</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Philosophy"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Philosophy</a></p>"
School,Humanities,Fine Arts,CAT-GRD-011-HUM-FA,"<p><strong>Fine Arts</strong></p><p>Fine Arts subject for the Classes 11 Humanities stream.</p><p><strong>Typical subjects or topics:</strong> Fine Arts</p><p><strong>Recommended course structure:</strong> Chapter / unit-wise courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Fine%20Arts"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Fine Arts</a></p>"
